Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belize,BLZ,GDP (constant 2015 US$),NY.GDP.MKTP.KD,110028361.5,115411254,121057925.2,127058081.6,133410833.1,139988708.9,146667353.4,153873301.1,165209494.1,173645710.1,181994063.3,189200011,208533043,219693510.7,249483918.2,258447437.3,258359511.1,275144080.3,296937712.4,319258584.1,362156344.1,366262367,365867864.3,358026657.5,365087176,368783734.4,385524513.3,426911742.3,468696631.8,529670413,590282657.4,657952876.2,737290959.7,783561761.5,784803040.2,789861016.9,801149021.9,829546985.1,860576313.9,936125025.8,1058004583,1107536473,1159949633,1268214791,1328961547,1354755401,1420128855,1427385968,1477198926,1480411259,1524875847,1554166651,1591721263,1612424641,1677520307,1721700991,1721149865,1752353217,1803321551,1835074887,1577459345
Bermuda,BMU,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1684353374,1763181112,1841995308,1861704657,2068540045,2167002551,2478262917,2807253305,2866353374,2964853490,3152003711,3260353838,3319453908,3368703966,3398254000,3526304151,3841504522,4068054789,4127154858,4215804963,4550705357,4659055485,4412805195,4501455299,4523125325,4432505218,4728005566,4905305775,5104276009,5126931035,5127916037,4946675890,4943720834,5092455994,5122991041,5348359016,5487441778,5739864146,5963718853,6165450411,6739895069,7226679646,7119884453,7362722828,7533631299,7659759815,8084406665,8354841362,8198943713,7737613935,7543950875,7261600083,6876350478,6857116739,6603330213,6654541000,6610806937,6849550930,6819905985,6851270046,
Bolivia,BOL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,4727739747,4826516221,5095783596,5442175896,5657500838,5935478858,6361087692,6762931565,7339771964,7668160505,8069284228,8477859236,9153331417,9678655892,9963166546,10691575418,11184945381,11740973137,11981979455,11997956711,11833371725,11865986867,11398616375,10937870797,10915921116,10732928018,10456675914,10714273735,11026006039,11443906007,11974420990,12605057161,12812599040,13359606523,13983135489,14637304683,15275687755,16032477213,16838806980,16910690092,17334777656,17626660804,18064782889,18554580701,19328917963,20183533462,21151739413,22117185759,23477060305,24265185515,25266542246,26581436462,27943010891,29842021104,31471565409,33000198249,34407300587,35850757841,37364958928,38193230080,35205262950
Brazil,BRA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.90189E+11,2.09732E+11,2.20672E+11,2.22602E+11,2.30361E+11,2.37395E+11,2.47248E+11,2.59401E+11,2.89044E+11,3.17184E+11,3.45001E+11,3.83969E+11,4.30249E+11,4.90392E+11,5.34733E+11,5.62588E+11,6.17668E+11,6.4612E+11,6.67E+11,7.12131E+11,7.77013E+11,7.42876E+11,7.47187E+11,7.21709E+11,7.59737E+11,8.20105E+11,8.85617E+11,9.17496E+11,9.16554E+11,9.46612E+11,9.17245E+11,9.31113E+11,9.26766E+11,9.70001E+11,1.02175E+12,1.06687E+12,1.09043E+12,1.12744E+12,1.13126E+12,1.13655E+12,1.18642E+12,1.20291E+12,1.23964E+12,1.25378E+12,1.326E+12,1.36846E+12,1.42268E+12,1.50903E+12,1.58591E+12,1.58391E+12,1.70315E+12,1.77084E+12,1.80486E+12,1.8591E+12,1.86847E+12,1.80221E+12,1.74318E+12,1.76624E+12,1.79774E+12,1.82311E+12,1.74911E+12
Barbados,BRB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,2849060089,2794927947,2916792703,3023028295,3170459551,3420704181,3570293792,3502467080,3330813323,3347509129,3468031980,3506119287,3685077459,3780556601,3913079562,4053950426,3919862233,3766991258,3552554498,3580728671,3652729335,3726295231,3874470510,4058124378,4209430121,4223517207,4411345026,4306996238,4340909594,4435345247,4497954520,4675869204,4951871749,5060916233,5096394821,4837609826,4727000111,4695173730,4673782229,4608042492,4602303309,4715000000,4831870643,4854827376,4826653203,4822013074,3973080115
Brunei Darussalam,BRN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,6708427943,6732273927,8089190286,8972262684,9580208347,11741736031,10920201635,8755084285,9101492760,9147133649,9202005158,9064826350,8818673714,8995852317,9094569847,8996877926,9094891762,9381011724,9827414751,9857346390,10167399107,10622767157,10928524149,10767746809,10707607990,11034421012,11348838216,11660254935,12111751313,12463471178,12526326738,12574867157,13127874565,13148167871,12893130934,12665627056,12994802365,13481499083,13604563824,13315326918,12981331573,12930394938,12609990391,12777527045,12784201743,13278836545,13438581206
Bhutan,BTN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,163460690.5,188179698.1,194652654.1,214956903.5,224751756.6,233805955.3,260441591.7,336111135.2,352134806.8,378036319.5,417288276.3,415586258.9,434706931.5,443341804.7,465293890.4,498209325.9,525935536.1,554198462.6,586973930.5,633837764.9,655103454.7,709797744,787820712.5,849454309,900495828.8,966117205.2,1033742879,1223546901,1282270552,1368802449,1532318166,1654637257,1739328224,1776201506,1878803710,2003598213,2166431312,2267210115,2336476327,2464153603,2297278618
Botswana,BWA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,183096940.8,194711299.2,207692054.8,219989595,235019946.1,248683900.2,264460454.3,280128572.4,309729917,356571625.8,417617642.6,525451141.8,663970261.5,805417068.7,876276013,950288479.1,1051469273,1177772184,1346579934,1510170395,1691193031,1844497269,2068890171,2340881557,2540918866,2721966228,2944430468,3294285580,3935023121,4448913763,4750230770,5104536666,5253439589,5354101120,5548343413,5938414717,6284612423,6807862397,6838066396,7499118737,7648178409,7667342745,8132714480,8508925295,8739161646,9137374275,9901612479,10721145555,11390727985,10519074146,11419888818,12110604972,12650271026,14085241486,14669675094,14420593484,15041222292,15478019046,16171254221,16660581829,15345553177
Central African Republic,CAF,GDP (constant 2015 US$),NY.GDP.MKTP.KD,980371513.8,1028934744,990722163.7,983717651.5,1004182172,1013697588,1020233745,1067946130,1082941303,1159738546,1186793864,1200207037,1200196629,1222867623,1300385612,1305652006,1376581800,1428977737,1446257442,1410605203,1347429290,1326618708,1428977737,1312851667,1437332673,1493779883,1547227017,1470809662,1495962938,1525542171,1492780725,1484532469,1389164943,1393822475,1462119071,1567392310,1504695161,1584443042,1658914120,1718634613,1675850365,1750672710,1813986527,1716076873,1818953695,1835473623,1923045638,2011650636,2052972574,2229266676,2332499968,2430339369,2553162919,1624016454,1625333053,1695825714,1776382809,1856804601,1927167164,1984982179,1984982179
Canada,CAN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.33745E+11,9.59858E+11,9.97969E+11,1.04705E+12,1.06176E+12,1.0981E+12,1.13995E+12,1.18457E+12,1.24374E+12,1.29556E+12,1.38454E+12,1.39849E+12,1.35754E+12,1.39948E+12,1.44352E+12,1.46896E+12,1.50317E+12,1.54632E+12,1.55651E+12,1.5721E+12,1.61989E+12,1.65924E+12,1.69013E+12,1.60033E+12
Central Europe and the Baltics,CEB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.97335E+11,6.2922E+11,6.16988E+11,6.26559E+11,6.52301E+11,6.89587E+11,7.20868E+11,7.37672E+11,7.57625E+11,7.72165E+11,8.02748E+11,8.27385E+11,8.57209E+11,8.92221E+11,9.44125E+11,9.91472E+11,1.05691E+12,1.12485E+12,1.16907E+12,1.12802E+12,1.14645E+12,1.18282E+12,1.19127E+12,1.20659E+12,1.24278E+12,1.29192E+12,1.33208E+12,1.39753E+12,1.46037E+12,1.51786E+12,1.45806E+12
