Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guyana,MtCO2e,6.97,6.97,6.97,6.97,6.97,7.36,7.65,7.74,7.77,7.95,7.97,8.67,8.69,8.68,9.11,9.1,9.09,9.08,9.08,9.08,9.08,16.75,16.73,16.73,16.71,16.71,14.08,14.08,14.08
Haiti,MtCO2e,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.65,0.65,0.65,0.65,0.65,0.63,0.63,0.63
Honduras,MtCO2e,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.9,5.9,5.9,5.9,5.9,5.52,5.52,5.52
Hungary,MtCO2e,1.62,1.62,1.62,1.62,1.62,1.64,1.64,1.63,1.62,1.62,1.62,2.39,2.37,2.33,2.27,2.27,2.27,2.27,2.26,2.26,2.26,1.34,1.34,1.34,1.34,1.34,1.9,1.9,1.89
Iceland,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
India,MtCO2e,-221.17,-221.17,-221.17,-221.17,-221.16,-221.12,-221.12,-221.1,-221.1,-221.09,-221.1,4.99,4.98,4.98,4.97,4.97,4.97,4.97,4.97,4.98,4.98,-64.83,-64.83,-64.83,-64.84,-64.84,-34.27,-34.27,-34.27
Indonesia,MtCO2e,684.4,684.4,684.4,684.4,684.38,686.36,537.91,1226.89,646.81,570.44,515.45,329.33,695.33,426.56,688.32,485.53,788.73,358.59,354.58,642.21,356.97,805.23,817.12,795.95,1049.18,1083.92,573.13,548.18,686.44
Iran,MtCO2e,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,FALSE,FALSE,FALSE,FALSE,FALSE,0.06,0.06,0.06
Iraq,MtCO2e,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.08,0.08,0.08,0.08,0.08,0.5,0.5,0.5
Ireland,MtCO2e,-2.46,-2.46,-2.46,-2.46,-2.46,-2.46,-2.47,-2.47,-2.47,-2.47,-2.47,-2.12,-2.12,-2.13,-2.13,-2.13,-2.13,-2.13,-2.13,-2.13,-2.13,-2.24,-2.24,-2.25,-2.25,-2.25,-2.79,-2.79,-2.79
Israel,MtCO2e,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.05,-0.05,-0.05,-0.05,-0.05,0.08,0.08,0.08
Italy,MtCO2e,-34.52,-34.52,-34.52,-34.52,-34.52,-34.52,-34.52,-34.52,-34.52,-34.52,-34.52,-34.71,-34.71,-34.71,-34.71,-34.71,-34.71,-34.71,-34.71,-34.71,-34.71,-34.67,-34.67,-34.67,-34.67,-34.67,-12.82,-12.82,-12.82
Jamaica,MtCO2e,0.36,0.36,0.36,0.36,0.36,0.37,0.37,0.37,0.39,0.43,0.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,-2.43,0.23,0.24,0.24,0.24,0.24,0.18,0.18,0.18
Japan,MtCO2e,-75.68,-75.68,-75.68,-75.68,-75.72,-75.69,-75.72,-75.74,-75.76,-75.75,-75.77,-97.46,-97.47,-97.48,-97.49,-97.57,-97.63,-97.79,-97.88,-98.01,-98.12,-49.5,-49.56,-49.64,-49.71,-49.75,-32.06,-32.07,-32.07
Jordan,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kazakhstan,MtCO2e,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-1.51,-1.51,-1.51,-1.51,-1.51,-1.51,-1.51,-1.51,-1.51,-1.51,-9.86,-9.86,-9.86,-9.86,-9.86,-2.98,-2.98,-2.98
Kenya,MtCO2e,-4.36,-4.36,-4.36,-4.36,-4.36,-4.35,-4.35,-4.35,-4.35,-4.35,-4.35,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,8.29,8.29,8.29,8.29,8.29,-7.62,-7.62,-7.62
Kiribati,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kuwait,MtCO2e,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0
Kyrgyzstan,MtCO2e,-1.02,-1.02,-1.02,-1.02,-1.02,-1.02,-1.02,-1.02,-1.02,-1.02,-1.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.74,-0.74,-0.74,-0.74,-0.74,-3.27,-3.27,-3.27
Laos,MtCO2e,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,12.17,12.17,12.17,12.17,12.17,12.17,12.17,12.17,12.17,12.17,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67
Latvia,MtCO2e,-12.93,-12.93,-12.96,-12.96,-12.96,-12.89,-12.88,-12.87,-12.85,-12.79,-12.7,-13.9,-13.89,-13.88,-13.86,-13.86,-13.85,-13.84,-13.82,-13.82,-13.8,-2.65,-2.65,-2.65,-2.68,-2.68,-2.78,-2.78,-2.78
Lebanon,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
Lesotho,MtCO2e,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Liberia,MtCO2e,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.41,13.41,13.43,13.43,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44
