Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Djibouti,MtCO2e,0.33,0.34,0.34,0.34,0.33,0.33,0.34,0.35,0.35,0.34,0.37,0.38,0.4,0.41,0.4,0.43,0.43,0.47,0.47,0.46,0.52,0.47,0.51,0.56,0.46,0.54,0.49,0.47,0.49
Dominica,MtCO2e,0.06,0.06,0.08,0.07,0.08,0.1,0.08,0.1,0.1,0.11,0.13,0.15,0.12,0.14,0.15,0.16,0.17,0.18,0.18,0.5,0.18,0.17,0.25,0.17,0.18,0.18,0.18,0.17,0.17
Dominican Republic,MtCO2e,7.86,8.23,9.62,9.52,11.14,11.85,12.73,14.5,16.61,17.79,18.66,18.97,20.87,18.71,17.25,18.66,20.32,20.58,20.54,19.63,20.64,20.87,21.64,21.25,21.32,23.45,24.46,23.39,25.12
Ecuador,MtCO2e,15.6,16.16,17.21,16.14,17.03,19.78,22.49,23.55,23.38,20.72,21.37,23.42,23.59,23.96,25.42,27.15,29.11,29.58,30.28,32.43,34.65,35.5,36.63,39.43,41.2,40.72,39.01,37.76,39.53
Egypt,MtCO2e,86.82,89.39,92.3,91.83,86.43,91.87,96.77,103.96,109.27,114.67,112.86,125.01,127.74,131.24,142.69,160.59,169.13,182.23,189.12,195.49,196.5,201.61,212.41,210.43,216.65,225.95,233.96,238.69,246.26
El Salvador,MtCO2e,2.38,3.06,3.35,3.92,4.46,4.96,4.39,5.32,5.67,5.61,5.63,5.87,5.94,6.51,6.68,6.84,7.23,7.63,6.91,6.68,6.54,6.78,6.77,6.46,6.59,7,7.17,6.38,6.81
Equatorial Guinea,MtCO2e,0.06,0.07,0.07,0.99,0.99,1,1.51,1.63,1.61,1.82,2.35,2.73,4.03,5.16,7.25,8.09,9.16,7.55,8.98,9.66,9.52,9.71,10.01,9.35,8.09,7.14,5.6,5.63,6.67
Eritrea,MtCO2e,FALSE,FALSE,0.44,0.63,0.73,0.8,0.87,0.83,0.61,0.65,0.64,0.7,0.68,0.69,0.68,0.6,0.52,0.51,0.45,0.47,0.5,0.58,0.63,0.65,0.68,0.65,0.66,0.72,0.8
Estonia,MtCO2e,35.02,31.36,23.78,18.32,17.88,16.23,17.21,16.83,16.26,15.2,14.82,15.29,14.86,16.83,16.92,17.12,15.89,19.85,18.29,14.96,18.88,18.05,16.78,19.19,17.82,15.37,15.65,16.28,16
Eswatini,MtCO2e,0.95,0.94,0.83,0.73,1.04,1,0.78,1.11,1.14,1.22,1.13,1.08,1.07,1,0.99,1.01,1.01,1.04,1.02,1.06,1.01,1.02,1.06,1.55,0.96,1.03,1.23,1.04,1.09
Ethiopia,MtCO2e,2.31,2.33,1.52,1.94,2.26,2.57,2.87,3.06,3.23,3.18,3.56,4.4,4.57,5.02,5.33,5.05,5.4,6.07,6.88,6.93,6.47,7.54,8.46,10.28,12.33,12.88,14.95,15.46,16.28
